name,Assist/Turnover Ratio,Assists Per Game,Bench Points per game,Blocks Per Game,Effective FG pct,Fastbreak Points,Field Goal Percentage,Field Goal Percentage Defense,Fouls Per Game,Free Throw Attempts Per Game,Free Throw Percentage,Free Throws Made Per Game,Rebound Margin,Rebounds (Defensive) Per Game,Rebounds (Offensive) Per Game,Rebounds Per Game,Scoring Defense,Scoring Margin,Scoring Offense,Steals Per Game,Three Point Attempts Per Game,Three Point Percentage,Three Point Percentage Defense,Three Pointers Per Game,Turnover Margin,Turnovers Forced Per Game,Turnovers Per Game,Winning Percentage
UTEP,.88,12.9,23.59,2.9,.497,15.88,68.97,45.136,12,23.8,68.97,16.4,-1,22.44,10.62,33.06,69.1,3,72.6,11.4,17.9,31.86,31.9,5.7,4.0,18.71,14.7,52.9
Louisville,.87,11.1,18.25,2.6,.484,5.22,74.58,47.302,16,22.2,74.58,16.6,0,24.44,9.94,34.38,79.1,-7,72.0,5.4,17.8,30.65,37.2,5.5,-1.4,11.44,12.8,25.0
Northwestern St.,.87,11.5,22.69,3.3,.486,10.25,65.91,45.161,12,20.7,65.91,13.7,-3,23.19,11.41,34.59,75.9,-5,70.5,7.0,20.1,31.73,32.2,6.4,.1,13.41,13.3,28.1
Bethune-Cookman,.86,12.2,16.97,3.4,.480,14.91,75.55,42.826,18,22.1,75.55,16.7,-1,23.15,10.52,33.67,72.2,0,72.5,10.4,18.4,31.91,33.8,5.9,2.5,16.58,14.1,51.5
CSU Bakersfield,.86,10.5,24.25,3.6,.474,9.34,72.26,43.104,13,18.8,72.26,13.6,1,22.72,11.94,34.66,69.2,0,68.7,6.9,14.9,31.51,34.0,4.7,1.0,13.19,12.2,40.6
Morgan St.,.86,12.5,20.23,3.6,.491,8.90,75.76,44.479,14,18.1,75.76,13.7,-1,24.55,10.90,35.45,77.5,-4,72.7,6.2,16.3,29.31,34.3,4.8,-1.6,12.94,14.5,35.5
LIU,.86,12.5,16.45,3.0,.464,8.03,67.67,45.476,31,18.3,67.67,12.4,-2,25.59,9.38,34.97,76.8,-10,66.5,6.4,17.4,31.03,31.1,5.4,-3.2,11.38,14.6,24.1
Nicholls,.86,11.4,19.06,4.1,.519,9.97,72.50,43.407,15,21.5,72.50,15.6,-1,25.71,9.56,35.26,73.9,0,73.9,6.7,22.9,36.50,31.5,8.4,-1.8,11.44,13.2,58.8
Saint Peter's,.85,10.8,19.38,4.2,.450,9.44,71.33,41.388,9,21.7,71.33,15.5,2,23.03,12.59,35.62,63.4,1,65.3,7.2,17.7,33.22,32.2,5.9,.8,13.56,12.8,59.4
Charleston So.,.84,10.2,11.90,3.0,.474,6.10,73.58,45.070,7,17.7,73.58,13.0,0,25.50,10.03,35.53,73.7,-6,67.6,3.8,21.0,33.07,31.1,6.9,-2.7,9.50,12.2,33.3
Chicago St.,.82,11.1,12.63,3.3,.477,13.87,70.78,45.747,14,21.3,70.78,15.1,-1,21.47,12.20,33.67,70.2,-1,69.1,8.7,19.8,31.60,31.5,6.3,1.2,14.73,13.5,40.0
Jacksonville,.82,10.8,21.03,3.0,.491,9.00,70.49,43.767,17,20.8,70.49,14.7,4,24.15,12.48,36.64,72.4,0,71.8,7.7,19.7,32.92,34.6,6.5,-0.4,12.64,13.1,48.5
Delaware St.,.82,12.1,17.06,1.9,.474,13.48,70.44,43.413,11,22.8,70.44,16.0,2,23.03,11.52,34.55,70.8,0,70.8,8.4,14.7,32.16,36.2,4.7,.9,15.67,14.7,45.5
Jacksonville St.,.82,11.1,24.22,3.9,.499,7.53,70.20,43.343,11,20.7,70.20,14.5,6,25.25,11.56,36.81,66.4,3,70.0,6.8,15.8,33.53,33.8,5.3,-1.0,12.53,13.5,43.8
Ga. Southern,.81,10.7,25.24,4.0,.508,7.45,73.16,45.557,23,17.3,73.16,12.6,-3,23.73,10.52,34.24,79.2,-5,73.3,6.9,26.6,35.19,35.5,9.4,-1.1,12.15,13.2,27.3
Notre Dame,.81,10.2,16.15,2.4,.476,5.33,74.41,42.199,3,15.4,74.41,11.5,1,26.09,9.82,35.91,67.2,-3,64.0,5.7,23.9,31.77,32.5,7.6,-2.6,9.94,12.5,39.4
Detroit Mercy,.81,10.8,11.78,2.4,.473,8.25,73.49,49.042,17,17.1,73.49,12.6,-7,20.59,8.94,29.53,80.2,-14,66.0,6.9,20.8,28.08,37.1,5.8,-1.5,11.88,13.3,3.1
NIU,.80,10.2,12.55,4.9,.507,9.68,67.17,44.942,19,21.2,67.17,14.3,0,25.52,10.32,35.84,77.4,-4,73.2,5.3,22.5,32.61,36.3,7.3,-1.8,10.90,12.7,35.5
SFA,.80,12.8,29.24,2.8,.503,11.67,70.60,42.355,13,24.1,70.60,17.0,3,23.97,11.91,35.88,71.3,3,74.6,8.9,18.4,33.44,37.1,6.2,1.0,17.06,16.1,54.5
UMES,.78,10.8,21.38,2.8,.452,9.83,71.48,43.758,8,18.6,71.48,13.3,-2,24.10,10.86,34.97,70.6,-5,65.2,7.0,19.7,29.47,32.8,5.8,-0.1,13.62,13.8,31.0
Cal Poly,.78,9.8,15.88,3.7,.460,6.00,70.47,45.951,17,17.8,70.47,12.5,-7,22.41,8.84,31.25,74.1,-10,63.7,5.4,18.7,33.11,35.2,6.2,-0.8,11.88,12.7,12.5
